Structure_Name                             NVox          BP         R^2        Intc
ctx-lh-transversetemporal                   935      0.1345      0.9997     -3.6710
ctx-rh-transversetemporal                   804      0.0595      0.9999     -3.3782
ctx-lh-insula                              5887      0.1093      0.9999     -7.3722
ctx-rh-insula                              5959      0.0910      0.9999     -7.8490
Left-UnsegmentedWhiteMatter               24840      0.3035      0.9990    -23.7428
Right-UnsegmentedWhiteMatter              24875      0.2556      0.9983    -23.4561
wm-lh-bankssts                             3106      0.1524      0.9950    -17.2596
wm-rh-bankssts                             2407      0.0832      0.9921    -17.1002
wm-lh-caudalanteriorcingulate              2281      0.2348      0.9934    -16.7126
wm-rh-caudalanteriorcingulate              2688      0.2216      0.9755    -15.2683
wm-lh-caudalmiddlefrontal                  5158      0.2540      0.9997    -15.7306
wm-rh-caudalmiddlefrontal                  4437      0.2521      0.9954    -18.4393
wm-lh-corpuscallosum                          0      0.0000      0.0000      0.0000
wm-rh-corpuscallosum                          0      0.0000      0.0000      0.0000
wm-lh-cuneus                               2493      0.0515      0.9975    -12.0215
wm-rh-cuneus                               1709      0.0425      0.9922    -10.8867
wm-lh-entorhinal                            617     -0.0126      0.9944     -6.7644
wm-rh-entorhinal                            549      0.0491      0.9987     -8.7201
wm-lh-fusiform                             5970      0.0689      0.9968    -16.6617
wm-rh-fusiform                             5901      0.0385      0.9963    -18.4520
wm-lh-inferiorparietal                     8004      0.1352      0.9985    -16.6334
wm-rh-inferiorparietal                    10936      0.0946      0.9992    -16.7505
wm-lh-inferiortemporal                     5398      0.0669      0.9993    -13.4686
wm-rh-inferiortemporal                     5087      0.0417      0.9958    -17.0683
wm-lh-isthmuscingulate                     3079      0.1672      0.9943    -19.6393
wm-rh-isthmuscingulate                     2400      0.0762      0.9995    -15.4958
wm-lh-lateraloccipital                     8639      0.1082      0.9974    -16.8888
wm-rh-lateraloccipital                     7616      0.0836      0.9962    -18.3770
wm-lh-lateralorbitofrontal                 5807      0.2267      0.9977    -17.3545
wm-rh-lateralorbitofrontal                 6484      0.2706      0.9986    -20.3144
wm-lh-lingual                              4854      0.0091      0.9986    -11.9098
wm-rh-lingual                              4842     -0.0537      0.9987     -9.8781
wm-lh-medialorbitofrontal                  3055      0.1666      0.9987    -14.6276
wm-rh-medialorbitofrontal                  3446      0.0952      0.9990    -11.6596
wm-lh-middletemporal                       3902      0.0117      0.9999    -10.7251
wm-rh-middletemporal                       4379     -0.0010      0.9981    -10.6790
wm-lh-parahippocampal                      1334      0.0190      0.9996     -9.6064
wm-rh-parahippocampal                      1470      0.0273      0.9990     -9.3393
wm-lh-paracentral                          2594      0.2676      0.9971    -18.7879
wm-rh-paracentral                          3436      0.1745      0.9986    -16.9012
wm-lh-parsopercularis                      3121      0.1666      0.9988    -11.7989
wm-rh-parsopercularis                      3017      0.1655      0.9993    -14.5559
wm-lh-parsorbitalis                         759      0.2595      0.9980    -12.4551
wm-rh-parsorbitalis                        1080      0.2197      0.9996    -12.7644
wm-lh-parstriangularis                     3033      0.2747      0.9970    -18.3584
wm-rh-parstriangularis                     3263      0.2251      0.9955    -16.7928
wm-lh-pericalcarine                        3328      0.0322      0.9985    -17.1973
wm-rh-pericalcarine                        3275     -0.0012      0.9932    -15.6672
wm-lh-postcentral                          6637      0.2157      0.9983    -13.9214
wm-rh-postcentral                          6563      0.1627      0.9994    -12.9577
wm-lh-posteriorcingulate                   4000      0.2024      0.9983    -16.1628
wm-rh-posteriorcingulate                   3963      0.1514      0.9924    -16.0934
wm-lh-precentral                          10314      0.2597      0.9997    -16.4582
wm-rh-precentral                          10435      0.1955      0.9988    -15.8634
wm-lh-precuneus                            8700      0.1477      0.9994    -19.1904
wm-rh-precuneus                            7445      0.1173      0.9950    -19.6943
wm-lh-rostralanteriorcingulate             2106      0.1132      0.9978    -14.6509
wm-rh-rostralanteriorcingulate             2063      0.1435      0.9932    -15.5735
wm-lh-rostralmiddlefrontal                10349      0.1895      0.9995    -12.7111
wm-rh-rostralmiddlefrontal                10845      0.2150      0.9996    -13.1203
wm-lh-superiorfrontal                     14703      0.2082      0.9996    -14.7187
wm-rh-superiorfrontal                     14681      0.2211      0.9987    -15.7868
wm-lh-superiorparietal                    10386      0.1838      0.9997    -17.1679
wm-rh-superiorparietal                    11703      0.1253      0.9990    -15.8107
wm-lh-superiortemporal                     5478      0.0349      0.9997     -9.9275
wm-rh-superiortemporal                     5226     -0.0082      0.9997    -10.2993
wm-lh-supramarginal                        7796      0.1747      0.9998    -16.4828
wm-rh-supramarginal                        6988      0.1530      0.9948    -17.8778
wm-lh-frontalpole                           237      0.1544      0.9930    -10.2299
wm-rh-frontalpole                           341      0.1105      0.9966     -6.9878
wm-lh-temporalpole                          399     -0.1018      0.9897     -6.3198
wm-rh-temporalpole                          554     -0.1210      0.9989     -8.0550
wm-lh-transversetemporal                    665      0.1007      0.9975     -8.4220
wm-rh-transversetemporal                    469     -0.0419      0.9993     -3.6535
wm-lh-insula                               7937      0.1289      0.9999    -13.5468
wm-rh-insula                               7455      0.0954      0.9999    -13.3979
