Structure_Name                             NVox        SUVR
wm-rh-pericalcarine                        3275      1.1895
wm-lh-postcentral                          6637      1.3532
wm-rh-postcentral                          6563      1.3430
wm-lh-posteriorcingulate                   4000      1.6131
wm-rh-posteriorcingulate                   3963      1.4874
wm-lh-precentral                          10314      1.5469
wm-rh-precentral                          10435      1.4967
wm-lh-precuneus                            8700      1.4266
wm-rh-precuneus                            7445      1.3804
wm-lh-rostralanteriorcingulate             2106      1.5132
wm-rh-rostralanteriorcingulate             2063      1.5508
wm-lh-rostralmiddlefrontal                10349      1.4372
wm-rh-rostralmiddlefrontal                10845      1.4757
wm-lh-superiorfrontal                     14703      1.5238
wm-rh-superiorfrontal                     14681      1.4993
wm-lh-superiorparietal                    10386      1.4175
wm-rh-superiorparietal                    11703      1.3589
wm-lh-superiortemporal                     5478      1.2633
wm-rh-superiortemporal                     5226      1.1906
wm-lh-supramarginal                        7796      1.4320
wm-rh-supramarginal                        6988      1.4509
wm-lh-frontalpole                           237      1.2739
wm-rh-frontalpole                           341      1.2925
wm-lh-temporalpole                          399      1.1643
wm-rh-temporalpole                          554      1.0675
wm-lh-transversetemporal                    665      1.3145
wm-rh-transversetemporal                    469      1.1393
wm-lh-insula                               7937      1.5678
wm-rh-insula                               7455      1.5116
