Structure_Name                             NVox        SUVR
wm-rh-pericalcarine                        3275      1.0781
wm-lh-postcentral                          6637      1.2959
wm-rh-postcentral                          6563      1.2859
wm-lh-posteriorcingulate                   4000      1.5207
wm-rh-posteriorcingulate                   3963      1.3985
wm-lh-precentral                          10314      1.4038
wm-rh-precentral                          10435      1.3560
wm-lh-precuneus                            8700      1.3003
wm-rh-precuneus                            7445      1.2459
wm-lh-rostralanteriorcingulate             2106      1.3874
wm-rh-rostralanteriorcingulate             2063      1.4388
wm-lh-rostralmiddlefrontal                10349      1.3317
wm-rh-rostralmiddlefrontal                10845      1.4044
wm-lh-superiorfrontal                     14703      1.3792
wm-rh-superiorfrontal                     14681      1.3692
wm-lh-superiorparietal                    10386      1.3189
wm-rh-superiorparietal                    11703      1.2661
wm-lh-superiortemporal                     5478      1.1505
wm-rh-superiortemporal                     5226      1.0998
wm-lh-supramarginal                        7796      1.3049
wm-rh-supramarginal                        6988      1.3158
wm-lh-frontalpole                           237      1.2755
wm-rh-frontalpole                           341      1.2600
wm-lh-temporalpole                          399      1.0797
wm-rh-temporalpole                          554      0.9725
wm-lh-transversetemporal                    665      1.2036
wm-rh-transversetemporal                    469      1.0475
wm-lh-insula                               7937      1.3929
wm-rh-insula                               7455      1.3380
