Structure_Name                             NVox          BP         R^2        Intc
ctx-rh-temporalpole                        2028     -0.2412      0.9998     -0.4097
ctx-lh-transversetemporal                   935      0.2657      0.9999      1.0781
ctx-rh-transversetemporal                   804      0.1235      0.9998     -0.5260
ctx-lh-insula                              5887      0.0659      0.9998     -2.4267
ctx-rh-insula                              5959      0.0751      0.9997     -5.0717
Left-UnsegmentedWhiteMatter               24840      0.5869      0.9873    -33.5784
Right-UnsegmentedWhiteMatter              24875      0.5598      0.9887    -33.9303
wm-lh-bankssts                             3106      0.3474      0.9096    -23.2185
wm-rh-bankssts                             2407      0.2515      0.8653    -22.3320
wm-lh-caudalanteriorcingulate              2281      0.2232      0.9613    -14.5850
wm-rh-caudalanteriorcingulate              2688      0.2073      0.8827    -12.8343
wm-lh-caudalmiddlefrontal                  5158      0.6237      0.9987    -22.0174
wm-rh-caudalmiddlefrontal                  4437      0.5493      0.9545    -24.2871
wm-lh-corpuscallosum                          0      0.0000      0.0000      0.0000
wm-rh-corpuscallosum                          0      0.0000      0.0000      0.0000
wm-lh-cuneus                               2493      0.0384      0.9878    -14.5163
wm-rh-cuneus                               1709     -0.1015      0.9813     -3.5002
wm-lh-entorhinal                            617     -0.1605      0.9950     -2.7164
wm-rh-entorhinal                            549      0.2032      0.9983     -8.3296
wm-lh-fusiform                             5970      0.0446      0.9350    -20.4771
wm-rh-fusiform                             5901      0.1511      0.8901    -27.4720
wm-lh-inferiorparietal                     8004      0.2987      0.9783    -22.5772
wm-rh-inferiorparietal                    10936      0.3003      0.9930    -26.4903
wm-lh-inferiortemporal                     5398      0.2391      0.9760    -21.7396
wm-rh-inferiortemporal                     5087      0.2523      0.8446    -31.6419
wm-lh-isthmuscingulate                     3079      0.1841      0.9451    -20.9649
wm-rh-isthmuscingulate                     2400      0.1120      0.9992    -16.7507
wm-lh-lateraloccipital                     8639      0.3483      0.9882    -29.7023
wm-rh-lateraloccipital                     7616      0.2925      0.8900    -29.9400
wm-lh-lateralorbitofrontal                 5807      0.3531      0.9647    -24.1991
wm-rh-lateralorbitofrontal                 6484      0.7217      0.9637    -41.4382
wm-lh-lingual                              4854     -0.0435      0.9680    -13.3072
wm-rh-lingual                              4842     -0.1656      0.9897     -7.4046
wm-lh-medialorbitofrontal                  3055      0.1681      0.9810    -17.4554
wm-rh-medialorbitofrontal                  3446      0.0249      0.9815    -12.4677
wm-lh-middletemporal                       3902      0.3266      0.9973    -17.9769
wm-rh-middletemporal                       4379      0.0064      0.9712    -11.4701
wm-lh-parahippocampal                      1334      0.0729      0.9886     -6.6148
wm-rh-parahippocampal                      1470      0.0241      0.9918     -6.2859
wm-lh-paracentral                          2594      0.3329      0.9179    -25.1794
wm-rh-paracentral                          3436      0.2165      0.9300    -21.9980
wm-lh-parsopercularis                      3121      0.4091      0.9880    -19.1414
wm-rh-parsopercularis                      3017      0.2442      0.9779    -18.8283
wm-lh-parsorbitalis                         759      0.3179      0.8454    -18.3970
wm-rh-parsorbitalis                        1080      0.0232      0.9617    -10.9261
wm-lh-parstriangularis                     3033      0.7228      0.9672    -26.0326
wm-rh-parstriangularis                     3263      0.2709      0.9285    -18.1024
wm-lh-pericalcarine                        3328      0.0167      0.9499    -21.9355
wm-rh-pericalcarine                        3275     -0.1742      0.7292     -9.9689
wm-lh-postcentral                          6637      0.6046      0.9736    -21.8818
wm-rh-postcentral                          6563      0.3171      0.9952    -17.8414
wm-lh-posteriorcingulate                   4000      0.3336      0.9981    -20.0952
wm-rh-posteriorcingulate                   3963      0.1918      0.9759    -16.5806
wm-lh-precentral                          10314      0.6578      0.9952    -24.2317
wm-rh-precentral                          10435      0.4471      0.9952    -22.9066
wm-lh-precuneus                            8700      0.3439      0.9932    -29.6764
wm-rh-precuneus                            7445      0.1953      0.8665    -23.2808
wm-lh-rostralanteriorcingulate             2106      0.0129      0.9876    -12.7854
wm-rh-rostralanteriorcingulate             2063      0.2324      0.9783    -18.3204
wm-lh-rostralmiddlefrontal                10349      0.5221      0.9954    -16.2651
wm-rh-rostralmiddlefrontal                10845      0.4373      0.9973    -16.7444
wm-lh-superiorfrontal                     14703      0.5720      0.9979    -21.2052
wm-rh-superiorfrontal                     14681      0.5259      0.9893    -22.0137
wm-lh-superiorparietal                    10386      0.4218      0.9955    -26.7096
wm-rh-superiorparietal                    11703      0.1786      0.9865    -19.5830
wm-lh-superiortemporal                     5478      0.3375      0.9963    -11.7850
wm-rh-superiortemporal                     5226      0.1080      0.9963    -13.1748
wm-lh-supramarginal                        7796      0.5529      0.9914    -26.9525
wm-rh-supramarginal                        6988      0.2890      0.9386    -22.4887
wm-lh-frontalpole                           237      0.3863      0.9498     -7.9826
wm-rh-frontalpole                           341      0.2459      0.9888     -4.6119
wm-lh-temporalpole                          399     -0.2961      0.9982      0.4470
wm-rh-temporalpole                          554     -0.2011      0.9936      0.0829
wm-lh-transversetemporal                    665      0.0408      0.9742     -2.8197
wm-rh-transversetemporal                    469     -0.0139      0.9999     -1.7288
wm-lh-insula                               7937      0.2841      0.9992    -17.2470
wm-rh-insula                               7455      0.2622      0.9998    -17.8596
