Structure_Name                             NVox        SUVR
wm-rh-pericalcarine                        3275      1.3782
wm-lh-postcentral                          6637      1.9063
wm-rh-postcentral                          6563      1.6582
wm-lh-posteriorcingulate                   4000      1.9704
wm-rh-posteriorcingulate                   3963      1.8024
wm-lh-precentral                          10314      2.0574
wm-rh-precentral                          10435      1.8503
wm-lh-precuneus                            8700      1.7182
wm-rh-precuneus                            7445      1.6705
wm-lh-rostralanteriorcingulate             2106      1.6923
wm-rh-rostralanteriorcingulate             2063      1.9251
wm-lh-rostralmiddlefrontal                10349      1.9806
wm-rh-rostralmiddlefrontal                10845      1.9756
wm-lh-superiorfrontal                     14703      2.0191
wm-rh-superiorfrontal                     14681      1.9683
wm-lh-superiorparietal                    10386      1.7465
wm-rh-superiorparietal                    11703      1.6315
wm-lh-superiortemporal                     5478      1.8308
wm-rh-superiortemporal                     5226      1.5423
wm-lh-supramarginal                        7796      1.9434
wm-rh-supramarginal                        6988      1.8036
wm-lh-frontalpole                           237      2.1781
wm-rh-frontalpole                           341      2.0758
wm-lh-temporalpole                          399      1.3675
wm-rh-temporalpole                          554      1.2191
wm-lh-transversetemporal                    665      1.5423
wm-rh-transversetemporal                    469      1.1964
wm-lh-insula                               7937      1.9513
wm-rh-insula                               7455      1.8639
