Structure_Name                             NVox          BP         R^2        Intc
ctx-rh-temporalpole                        2028     -0.1849      0.9989     -4.8460
ctx-lh-transversetemporal                   935      0.0685      0.9997     -3.6701
ctx-rh-transversetemporal                   804     -0.0070      0.9999     -3.3772
ctx-lh-insula                              5887      0.0865      0.9999     -7.3711
ctx-rh-insula                              5959      0.0807      0.9999     -7.8476
Left-UnsegmentedWhiteMatter               24840      0.4386      0.9990    -23.7410
Right-UnsegmentedWhiteMatter              24875      0.3821      0.9983    -23.4544
wm-lh-bankssts                             3106      0.2926      0.9950    -17.2581
wm-rh-bankssts                             2407      0.2177      0.9922    -17.0995
wm-lh-caudalanteriorcingulate              2281      0.3281      0.9934    -16.7117
wm-rh-caudalanteriorcingulate              2688      0.2760      0.9755    -15.2661
wm-lh-caudalmiddlefrontal                  5158      0.3889      0.9997    -15.7292
wm-rh-caudalmiddlefrontal                  4437      0.3752      0.9955    -18.4377
wm-lh-corpuscallosum                          0      0.0000      0.0000      0.0000
wm-rh-corpuscallosum                          0      0.0000      0.0000      0.0000
wm-lh-cuneus                               2493      0.1203      0.9974    -12.0200
wm-rh-cuneus                               1709      0.0948      0.9922    -10.8843
wm-lh-entorhinal                            617      0.0885      0.9944     -6.7635
wm-rh-entorhinal                            549      0.1545      0.9987     -8.7192
wm-lh-fusiform                             5970      0.1851      0.9968    -16.6597
wm-rh-fusiform                             5901      0.1571      0.9963    -18.4512
wm-lh-inferiorparietal                     8004      0.2394      0.9985    -16.6319
wm-rh-inferiorparietal                    10936      0.2042      0.9992    -16.7500
wm-lh-inferiortemporal                     5398      0.1643      0.9993    -13.4669
wm-rh-inferiortemporal                     5087      0.1513      0.9958    -17.0664
wm-lh-isthmuscingulate                     3079      0.2709      0.9943    -19.6373
wm-rh-isthmuscingulate                     2400      0.1674      0.9995    -15.4950
wm-lh-lateraloccipital                     8639      0.2083      0.9974    -16.8862
wm-rh-lateraloccipital                     7616      0.1861      0.9962    -18.3747
wm-lh-lateralorbitofrontal                 5807      0.3461      0.9977    -17.3528
wm-rh-lateralorbitofrontal                 6484      0.3858      0.9986    -20.3133
wm-lh-lingual                              4854      0.0665      0.9986    -11.9077
wm-rh-lingual                              4842      0.0067      0.9987     -9.8774
wm-lh-medialorbitofrontal                  3055      0.2507      0.9987    -14.6268
wm-rh-medialorbitofrontal                  3446      0.1211      0.9990    -11.6592
wm-lh-middletemporal                       3902      0.1120      0.9999    -10.7233
wm-rh-middletemporal                       4379      0.1018      0.9981    -10.6770
wm-lh-parahippocampal                      1334      0.1095      0.9996     -9.6056
wm-rh-parahippocampal                      1470      0.1010      0.9990     -9.3379
